subjID,condition,trial,effort_level,rating,ratingRT,effort_time,steps_req,sex,age,frustration_raw,frustration_adjusted,raw_overall,adjusted_overall,effort_trials,rel_liking,rel_value,rel_wanting
9,Liking,9,Low,5,2.089,46.84453379991464,30,NA,NA,35,105,300,55.666666666666664,31,More,More,More
9,Liking,10,Medium,5,6.316,91.33897849998904,100,NA,NA,35,105,300,55.666666666666664,119,More,More,More
9,Liking,11,Low,4,3.478,45.00957640004344,30,NA,NA,35,105,300,55.666666666666664,32,More,More,More
9,Liking,12,High,2,6.461,211.58435140002985,270,NA,NA,35,105,300,55.666666666666664,270,More,More,More
9,Liking,13,Medium,3,2.215,103.33834999997634,100,NA,NA,35,105,300,55.666666666666664,101,More,More,More
9,Liking,14,High,1,3.405,209.14475720003247,270,NA,NA,35,105,300,55.666666666666664,273,More,More,More
9,Liking,15,Low,4,3.496,42.02813450002577,30,NA,NA,35,105,300,55.666666666666664,31,More,More,More
9,Liking,16,High,1,2.777,115.18394890008494,270,NA,NA,35,105,300,55.666666666666664,271,More,More,More
9,Liking,17,Low,5,1.419,14.605909399921076,30,NA,NA,35,105,300,55.666666666666664,31,More,More,More
9,Liking,18,Medium,2,1.708,47.13917029998265,100,NA,NA,35,105,300,55.666666666666664,100,More,More,More
10,Wanting,1,Low,5,2.724,28.327047700004183,30,Female,28,85,170,460,89.33333333333333,30,Less,Neither,Neither
10,Wanting,2,Medium,4,15.493,65.60326460003853,100,Female,28,85,170,460,89.33333333333333,102,Less,Neither,Neither
10,Wanting,3,High,3,9.678,176.0310782000306,270,Female,28,85,170,460,89.33333333333333,272,Less,Neither,Neither
10,Wanting,4,Low,5,3.374,23.692520099983085,30,Female,28,85,170,460,89.33333333333333,34,Less,Neither,Neither
10,Wanting,5,High,1,7.535,181.8430926000001,270,Female,28,85,170,460,89.33333333333333,271,Less,Neither,Neither
10,Wanting,6,Medium,2,9.8,75.96761220000917,100,Female,28,85,170,460,89.33333333333333,100,Less,Neither,Neither
10,Wanting,7,High,3,3.052,203.7841391999973,270,Female,28,85,170,460,89.33333333333333,270,Less,Neither,Neither
10,Wanting,8,Medium,5,5.815,76.88251530000707,100,Female,28,85,170,460,89.33333333333333,100,Less,Neither,Neither
10,Wanting,9,Low,1,4.507,25.58385339996312,30,Female,28,85,170,460,89.33333333333333,30,Less,Neither,Neither
10,Wanting,10,Medium,4,11.13,74.48943129996769,100,Female,28,85,170,460,89.33333333333333,101,Less,Neither,Neither
10,Wanting,11,Low,5,2.964,23.78778549999697,30,Female,28,85,170,460,89.33333333333333,29,Less,Neither,Neither
10,Wanting,12,High,5,4.271,203.0424976000213,270,Female,28,85,170,460,89.33333333333333,272,Less,Neither,Neither
10,Wanting,13,Medium,5,3.062,74.13553369999863,100,Female,28,85,170,460,89.33333333333333,98,Less,Neither,Neither
10,Wanting,14,High,1,3.674,222.1082995000179,270,Female,28,85,170,460,89.33333333333333,270,Less,Neither,Neither
10,Wanting,15,Low,1,4.669,25.138257600017823,30,Female,28,85,170,460,89.33333333333333,31,Less,Neither,Neither
10,Wanting,16,High,1,4.459,189.7298477999866,270,Female,28,85,170,460,89.33333333333333,269,Less,Neither,Neither
10,Wanting,17,Low,1,2.76,22.577919800009113,30,Female,28,85,170,460,89.33333333333333,30,Less,Neither,Neither
10,Wanting,18,Medium,1,7.824,66.1739355000318,100,Female,28,85,170,460,89.33333333333333,105,Less,Neither,Neither
11,Wanting,1,Low,2,6.195,32.682850400102325,30,Female,19,65,130,375,63.666666666666664,58,More,More,More
11,Wanting,2,Medium,1,3.513,57.35490929998923,100,Female,19,65,130,375,63.666666666666664,100,More,More,More
11,Wanting,3,High,2,27.796,152.44262669992168,270,Female,19,65,130,375,63.666666666666664,319,More,More,More
11,Wanting,4,Low,1,4.466,18.649610599968582,30,Female,19,65,130,375,63.666666666666664,34,More,More,More
11,Wanting,5,High,1,2.545,146.44155889994,270,Female,19,65,130,375,63.666666666666664,270,More,More,More
11,Wanting,6,Medium,1,3.657,52.18004970008042,100,Female,19,65,130,375,63.666666666666664,103,More,More,More
11,Wanting,7,High,1,2.473,154.13595000002533,270,Female,19,65,130,375,63.666666666666664,272,More,More,More
11,Wanting,8,Medium,1,2.391,50.85764149995521,100,Female,19,65,130,375,63.666666666666664,104,More,More,More
11,Wanting,9,Low,1,2.7,15.627293099998496,30,Female,19,65,130,375,63.666666666666664,39,More,More,More
11,Wanting,10,Medium,1,1.732,65.6670764000155,100,Female,19,65,130,375,63.666666666666664,105,More,More,More
11,Wanting,11,Low,1,2.303,22.241041000001132,30,Female,19,65,130,375,63.666666666666664,44,More,More,More
11,Wanting,12,High,1,2.142,180.09880649996921,270,Female,19,65,130,375,63.666666666666664,270,More,More,More
11,Wanting,13,Medium,1,2.562,65.86850950005464,100,Female,19,65,130,375,63.666666666666664,103,More,More,More
11,Wanting,14,High,1,2.331,159.4241896000458,270,Female,19,65,130,375,63.666666666666664,276,More,More,More
11,Wanting,15,Low,1,1.861,18.05761300004087,30,Female,19,65,130,375,63.666666666666664,33,More,More,More
11,Wanting,16,High,5,1.663,149.58631829998922,270,Female,19,65,130,375,63.666666666666664,271,More,More,More
11,Wanting,17,Low,5,1.879,15.525322899920866,30,Female,19,65,130,375,63.666666666666664,32,More,More,More
11,Wanting,18,Medium,5,3.176,57.06884289998561,100,Female,19,65,130,375,63.666666666666664,103,More,More,More
12,Wanting,1,Low,4,2.778,22.71760580001865,30,Female,19,70,140,280,55.333333333333336,32,Neither,Neither,Less
12,Wanting,2,Medium,5,3.559,56.11591239995323,100,Female,19,70,140,280,55.333333333333336,102,Neither,Neither,Less
12,Wanting,3,High,2,4.395,150.3041530000046,270,Female,19,70,140,280,55.333333333333336,272,Neither,Neither,Less
12,Wanting,4,Low,2,2.248,22.774073100008536,30,Female,19,70,140,280,55.333333333333336,33,Neither,Neither,Less
12,Wanting,5,High,3,1.933,163.1207014999818,270,Female,19,70,140,280,55.333333333333336,270,Neither,Neither,Less
12,Wanting,6,Medium,3,1.712,60.029238799994346,100,Female,19,70,140,280,55.333333333333336,102,Neither,Neither,Less
12,Wanting,7,High,1,2.614,186.32877820002616,270,Female,19,70,140,280,55.333333333333336,290,Neither,Neither,Less
12,Wanting,8,Medium,3,2.829,64.41926549997879,100,Female,19,70,140,280,55.333333333333336,100,Neither,Neither,Less
12,Wanting,9,Low,4,3.063,20.275951499992516,30,Female,19,70,140,280,55.333333333333336,29,Neither,Neither,Less
12,Wanting,10,Medium,3,5.09,72.37728600000264,100,Female,19,70,140,280,55.333333333333336,102,Neither,Neither,Less
12,Wanting,11,Low,4,2.564,24.30837879999308,30,Female,19,70,140,280,55.333333333333336,29,Neither,Neither,Less
12,Wanting,12,High,2,2.726,209.28045590000693,270,Female,19,70,140,280,55.333333333333336,270,Neither,Neither,Less
12,Wanting,13,Medium,2,2.697,74.75132659997325,100,Female,19,70,140,280,55.333333333333336,103,Neither,Neither,Less
12,Wanting,14,High,2,2.109,169.421633299964,270,Female,19,70,140,280,55.333333333333336,270,Neither,Neither,Less
12,Wanting,15,Low,3,1.798,20.990405199991073,30,Female,19,70,140,280,55.333333333333336,33,Neither,Neither,Less
12,Wanting,16,High,3,2.703,184.82428119995168,270,Female,19,70,140,280,55.333333333333336,273,Neither,Neither,Less
12,Wanting,17,Low,3,2.348,25.370464199979324,30,Female,19,70,140,280,55.333333333333336,34,Neither,Neither,Less
12,Wanting,18,Medium,3,2.893,70.16853259998607,100,Female,19,70,140,280,55.333333333333336,101,Neither,Neither,Less
13,Liking,1,Low,1,4.564,17.788514000014402,30,NA,NA,10,10,275,48.666666666666664,32,Neither,Neither,More
13,Liking,2,Medium,3,2.139,57.493511399952695,100,NA,NA,10,10,275,48.666666666666664,101,Neither,Neither,More
13,Liking,3,High,4,4.773,156.1339701000834,270,NA,NA,10,10,275,48.666666666666664,274,Neither,Neither,More
13,Liking,4,Low,1,5.53,22.572567699942734,30,NA,NA,10,10,275,48.666666666666664,35,Neither,Neither,More
13,Liking,5,High,4,8.376,168.55155940004624,270,NA,NA,10,10,275,48.666666666666664,277,Neither,Neither,More
13,Liking,6,Medium,1,3.966,60.193179700057954,100,NA,NA,10,10,275,48.666666666666664,101,Neither,Neither,More
13,Liking,7,High,2,3.937,173.43290129990783,270,NA,NA,10,10,275,48.666666666666664,271,Neither,Neither,More
13,Liking,8,Medium,4,4.651,61.78943350003101,100,NA,NA,10,10,275,48.666666666666664,101,Neither,Neither,More
13,Liking,9,Low,1,2.06,21.67152019997593,30,NA,NA,10,10,275,48.666666666666664,32,Neither,Neither,More
13,Liking,10,Medium,1,3.247,69.5046456999844,100,NA,NA,10,10,275,48.666666666666664,100,Neither,Neither,More
13,Liking,11,Low,1,2.141,28.714690499939024,30,NA,NA,10,10,275,48.666666666666664,32,Neither,Neither,More
13,Liking,12,High,4,3.594,164.3866252999287,270,NA,NA,10,10,275,48.666666666666664,271,Neither,Neither,More
13,Liking,13,Medium,5,3.613,63.620062200003304,100,NA,NA,10,10,275,48.666666666666664,103,Neither,Neither,More
13,Liking,14,High,2,6.132,182.39958560001105,270,NA,NA,10,10,275,48.666666666666664,274,Neither,Neither,More
13,Liking,15,Low,2,4.111,19.719347600010224,30,NA,NA,10,10,275,48.666666666666664,32,Neither,Neither,More
13,Liking,16,High,2,4.985,166.42042390001006,270,NA,NA,10,10,275,48.666666666666664,275,Neither,Neither,More
13,Liking,17,Low,3,5.088,22.70538439997472,30,NA,NA,10,10,275,48.666666666666664,31,Neither,Neither,More
13,Liking,18,Medium,1,16.868,66.11724469996989,100,NA,NA,10,10,275,48.666666666666664,101,Neither,Neither,More
15,Wanting,1,Low,4,7.678,33.00067979999585,30,Female,22,50,150,365,70,31,Neither,More,Less
15,Wanting,2,Medium,5,4.154,94.26570579997497,100,Female,22,50,150,365,70,102,Neither,More,Less
