experiment_name,id,condition,trial,effort_level,effort_time,rating,rt,nasa_tlx
buysell_between29,29,Buy,14,High,192.67061779997312,0.75,0.723,225
buysell_between29,29,Buy,15,Low,22.596417199936695,0.75,2.189,225
buysell_between29,29,Buy,16,High,187.33735150005668,0.1,4.383,225
buysell_between29,29,Buy,17,Low,22.979604899999686,0.45,0.805,225
buysell_between29,29,Buy,18,Medium,76.47707320004702,0.45,1.305,225
buysell_between2,2,Sell,1,Low,35.010703699999794,0.25,7.24,255
buysell_between2,2,Sell,2,Medium,46.28698439999971,0.45,3.454,255
buysell_between2,2,Sell,3,High,118.7963151999993,0.75,3.801,255
buysell_between2,2,Sell,4,Low,30.799656099999993,0.1,5.323,255
buysell_between2,2,Sell,5,High,113.17851249999967,0.75,5.542,255
buysell_between2,2,Sell,6,Medium,40.83233079999991,0.25,4.005,255
buysell_between2,2,Sell,7,High,114.23733369999991,0.75,2.6,255
buysell_between2,2,Sell,8,Medium,44.99220140000034,0.25,3.853,255
buysell_between2,2,Sell,9,Low,19.765977600000042,0.1,2.886,255
buysell_between2,2,Sell,10,Medium,48.0630699000003,0.25,4.436,255
