id,qg,cond,Liking,Price
R_1oncUpsxUoWlKDt,11,Liking First,4,1
R_1qUqltfIvVZWiUd,2,Liking First,5,4
R_1qUqltfIvVZWiUd,3,Liking First,2,1
R_1qUqltfIvVZWiUd,4,Liking First,3,1
R_1qUqltfIvVZWiUd,5,Liking First,5,4
R_1qUqltfIvVZWiUd,6,Liking First,5,5
R_1qUqltfIvVZWiUd,7,Liking First,2,3
R_1qUqltfIvVZWiUd,8,Liking First,2,1
R_1qUqltfIvVZWiUd,9,Liking First,3,1
R_1qUqltfIvVZWiUd,10,Liking First,1,1
R_1qUqltfIvVZWiUd,11,Liking First,5,5
R_25RU6yKoSk92doG,2,Liking First,2,1
R_25RU6yKoSk92doG,3,Liking First,4,4
R_25RU6yKoSk92doG,4,Liking First,2,1
R_25RU6yKoSk92doG,5,Liking First,4,4
R_25RU6yKoSk92doG,6,Liking First,2,1
R_25RU6yKoSk92doG,7,Liking First,1,1
R_25RU6yKoSk92doG,8,Liking First,1,1
R_25RU6yKoSk92doG,9,Liking First,4,3
R_25RU6yKoSk92doG,10,Liking First,3,2
R_25RU6yKoSk92doG,11,Liking First,4,3
R_27lM8RmYyTcLSsK,2,Liking First,4,2
R_27lM8RmYyTcLSsK,3,Liking First,3,1
R_27lM8RmYyTcLSsK,4,Liking First,3,2
R_27lM8RmYyTcLSsK,5,Liking First,4,3
R_27lM8RmYyTcLSsK,6,Liking First,3,2
R_27lM8RmYyTcLSsK,7,Liking First,4,3
R_27lM8RmYyTcLSsK,8,Liking First,4,2
R_27lM8RmYyTcLSsK,9,Liking First,3,1
R_27lM8RmYyTcLSsK,10,Liking First,2,1
R_27lM8RmYyTcLSsK,11,Liking First,4,2
R_2AKIFPzyGWnDIiO,2,Liking First,2,1
R_2AKIFPzyGWnDIiO,3,Liking First,2,2
R_2AKIFPzyGWnDIiO,4,Liking First,4,4
R_2AKIFPzyGWnDIiO,5,Liking First,3,3
R_2AKIFPzyGWnDIiO,6,Liking First,5,3
R_2AKIFPzyGWnDIiO,7,Liking First,4,4
R_2AKIFPzyGWnDIiO,8,Liking First,5,5
R_2AKIFPzyGWnDIiO,9,Liking First,4,3
R_2AKIFPzyGWnDIiO,10,Liking First,5,4
R_2AKIFPzyGWnDIiO,11,Liking First,4,2
R_2Eh53hrXdq7HYOa,2,Liking First,3,1
R_2Eh53hrXdq7HYOa,3,Liking First,2,1
R_2Eh53hrXdq7HYOa,4,Liking First,1,1
R_2Eh53hrXdq7HYOa,5,Liking First,3,1
R_2Eh53hrXdq7HYOa,6,Liking First,2,1
R_2Eh53hrXdq7HYOa,7,Liking First,4,1
R_2Eh53hrXdq7HYOa,8,Liking First,4,2
R_2Eh53hrXdq7HYOa,9,Liking First,4,1
R_2Eh53hrXdq7HYOa,10,Liking First,4,2
R_2Eh53hrXdq7HYOa,11,Liking First,3,2
R_2TGZYX6rKTqMfhk,2,Liking First,4,1
R_2TGZYX6rKTqMfhk,3,Liking First,4,1
R_2TGZYX6rKTqMfhk,4,Liking First,2,1
R_2TGZYX6rKTqMfhk,5,Liking First,4,3
R_2TGZYX6rKTqMfhk,6,Liking First,4,2
R_2TGZYX6rKTqMfhk,7,Liking First,4,4
R_2TGZYX6rKTqMfhk,8,Liking First,4,4
R_2TGZYX6rKTqMfhk,9,Liking First,4,5
R_2TGZYX6rKTqMfhk,10,Liking First,4,1
R_2TGZYX6rKTqMfhk,11,Liking First,4,2
R_2UblANtPjXgWuB7,2,Liking First,4,4
R_2UblANtPjXgWuB7,3,Liking First,4,3
R_2UblANtPjXgWuB7,4,Liking First,4,5
R_2UblANtPjXgWuB7,5,Liking First,4,4
R_2UblANtPjXgWuB7,6,Liking First,4,4
R_2UblANtPjXgWuB7,7,Liking First,3,2
R_2UblANtPjXgWuB7,8,Liking First,5,5
R_2UblANtPjXgWuB7,9,Liking First,3,3
R_2UblANtPjXgWuB7,10,Liking First,4,3
R_2UblANtPjXgWuB7,11,Liking First,4,5
R_2VL7XOk1GryBLhr,2,Liking First,4,1
R_2VL7XOk1GryBLhr,3,Liking First,3,1
R_2VL7XOk1GryBLhr,4,Liking First,5,3
R_2VL7XOk1GryBLhr,5,Liking First,5,4
R_2VL7XOk1GryBLhr,6,Liking First,5,5
R_2VL7XOk1GryBLhr,7,Liking First,3,1
R_2VL7XOk1GryBLhr,8,Liking First,5,4
R_2VL7XOk1GryBLhr,9,Liking First,5,5
R_2VL7XOk1GryBLhr,10,Liking First,5,4
R_2VL7XOk1GryBLhr,11,Liking First,1,1
R_2YSyK23HvwHZTFu,2,Liking First,4,4
R_2YSyK23HvwHZTFu,3,Liking First,3,1
R_2YSyK23HvwHZTFu,4,Liking First,4,4
R_2YSyK23HvwHZTFu,5,Liking First,4,5
R_2YSyK23HvwHZTFu,6,Liking First,1,1
R_2YSyK23HvwHZTFu,7,Liking First,2,4
R_2YSyK23HvwHZTFu,8,Liking First,2,3
R_2YSyK23HvwHZTFu,9,Liking First,4,5
R_2YSyK23HvwHZTFu,10,Liking First,4,5
R_2YSyK23HvwHZTFu,11,Liking First,3,3
R_2Yu1oyBaQxmmA4q,2,Liking First,2,1
R_2Yu1oyBaQxmmA4q,3,Liking First,4,4
R_2Yu1oyBaQxmmA4q,4,Liking First,3,3
R_2Yu1oyBaQxmmA4q,5,Liking First,4,4
R_2Yu1oyBaQxmmA4q,6,Liking First,4,4
R_2Yu1oyBaQxmmA4q,7,Liking First,3,2
R_2Yu1oyBaQxmmA4q,8,Liking First,3,2
R_2Yu1oyBaQxmmA4q,9,Liking First,4,4
R_2Yu1oyBaQxmmA4q,10,Liking First,3,3
R_2Yu1oyBaQxmmA4q,11,Liking First,3,2
R_2bZ9VbbVmO10I8d,2,Liking First,3,2
R_2bZ9VbbVmO10I8d,3,Liking First,2,2
R_2bZ9VbbVmO10I8d,4,Liking First,2,1
R_2bZ9VbbVmO10I8d,5,Liking First,3,5
R_2bZ9VbbVmO10I8d,6,Liking First,3,1
R_2bZ9VbbVmO10I8d,7,Liking First,4,5
R_2bZ9VbbVmO10I8d,8,Liking First,4,2
R_2bZ9VbbVmO10I8d,9,Liking First,4,5
R_2bZ9VbbVmO10I8d,10,Liking First,2,3
R_2bZ9VbbVmO10I8d,11,Liking First,3,5
R_2dm3nfrDKEFZm8W,2,Liking First,4,2
R_2dm3nfrDKEFZm8W,3,Liking First,4,3
R_2dm3nfrDKEFZm8W,4,Liking First,2,1
R_2dm3nfrDKEFZm8W,5,Liking First,5,4
R_2dm3nfrDKEFZm8W,6,Liking First,4,3
R_2dm3nfrDKEFZm8W,7,Liking First,5,5
R_2dm3nfrDKEFZm8W,8,Liking First,5,2
R_2dm3nfrDKEFZm8W,9,Liking First,3,3
R_2dm3nfrDKEFZm8W,10,Liking First,5,2
R_2dm3nfrDKEFZm8W,11,Liking First,5,4
R_2eb2zeyWc1rIUHb,2,Liking First,4,1
R_2eb2zeyWc1rIUHb,3,Liking First,2,1
R_2eb2zeyWc1rIUHb,4,Liking First,2,1
R_2eb2zeyWc1rIUHb,5,Liking First,4,2
R_2eb2zeyWc1rIUHb,6,Liking First,1,1
R_2eb2zeyWc1rIUHb,7,Liking First,4,3
R_2eb2zeyWc1rIUHb,8,Liking First,1,1
R_2eb2zeyWc1rIUHb,9,Liking First,4,2
R_2eb2zeyWc1rIUHb,10,Liking First,1,1
R_2eb2zeyWc1rIUHb,11,Liking First,4,2
R_2sdITUTQW75DPw7,2,Liking First,3,1
R_2sdITUTQW75DPw7,3,Liking First,3,1
R_2sdITUTQW75DPw7,4,Liking First,4,4
R_2sdITUTQW75DPw7,5,Liking First,3,2
R_2sdITUTQW75DPw7,6,Liking First,3,3
R_2sdITUTQW75DPw7,7,Liking First,1,1
R_2sdITUTQW75DPw7,8,Liking First,2,1
R_2sdITUTQW75DPw7,9,Liking First,3,2
R_2sdITUTQW75DPw7,10,Liking First,4,2
R_2sdITUTQW75DPw7,11,Liking First,4,3
R_2y1KXClFdznPCGS,2,Liking First,4,3
R_2y1KXClFdznPCGS,3,Liking First,3,3
R_2y1KXClFdznPCGS,4,Liking First,4,3
R_2y1KXClFdznPCGS,5,Liking First,3,2
R_2y1KXClFdznPCGS,6,Liking First,4,3
R_2y1KXClFdznPCGS,7,Liking First,3,1
R_2y1KXClFdznPCGS,8,Liking First,3,2
R_2y1KXClFdznPCGS,9,Liking First,2,1
R_2y1KXClFdznPCGS,10,Liking First,3,2
R_2y1KXClFdznPCGS,11,Liking First,3,3
R_3GrzOz0M7LFdujx,2,Liking First,2,1
R_3GrzOz0M7LFdujx,3,Liking First,2,1
R_3GrzOz0M7LFdujx,4,Liking First,3,2
R_3GrzOz0M7LFdujx,5,Liking First,5,5
R_3GrzOz0M7LFdujx,6,Liking First,5,5
R_3GrzOz0M7LFdujx,7,Liking First,1,1
R_3GrzOz0M7LFdujx,8,Liking First,5,5
R_3GrzOz0M7LFdujx,9,Liking First,3,2
R_3GrzOz0M7LFdujx,10,Liking First,1,1
R_3GrzOz0M7LFdujx,11,Liking First,5,5
R_3J5jFXESOpPZp6S,2,Liking First,4,3
